authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"W. Kiessling","W. Kiessling","W. Kiessling",10906,M.,Sone,"M. S.",Leman,"G. R. Shi",2001,"Middle Permian brachiopods from central Peninsular Malaysia - faunal affinities between Malaysia and west Cambodia","Journal of South American Earth Sciences",,19,,177,194,"journal article","stated without evidence",,,,,,"2004-06-23 11:00:49","2004-06-24 04:00:49"
"M. Clapham","M. Clapham",,27852,M.,Sone,"M. S.",Leman,"M. Ehiro",2001,"Middle Permian cephalopods from central peninsular Malaysia: implications for faunal migration through the southern Tethys","Journal of Asian Earth Sciences",,19,,805,814,"journal article","stated without evidence",English,,,,,"2008-08-02 13:46:44","2008-08-03 06:46:44"
"W. Kiessling","W. Kiessling","W. Kiessling",13477,M.,Sone,"M. S.",Leman,,2005,"Permian linoproductioid brachiopod Permundaria from Bera South, Peninsular Malaysia","Journal of Paleontology",,79,3,601,606,"journal article","stated without evidence",,,,,,"2005-05-09 07:06:53","2005-05-10 00:07:17"
"W. Kiessling","U. Merkel",,25511,M.,Sone,I.,Metcalfe,"M. S. Leman",2003,"Palaeobiogeographic implications of Middle Permian brachiopods from Johore (Peninsular Malaysia)","Geological Magazine",,140,5,523,538,"journal article","stated without evidence",English,,,,,"2007-10-17 04:16:39","2007-10-17 21:16:39"
"A. Miller","K. Layou","J. Alroy",394,"J. E.",Sorauf,,,,1978,"Upper Devonian Pachyphyllum (Rugose Coral) from New York state","Journal of Paleontology",,52,4,818,829,"journal article","stated without evidence",,,,,,"2000-02-14 09:37:16","2009-11-23 09:25:29"
"A. Miller","K. Layou",,396,"J. E.",Sorauf,,,,1987,"Upper Devonian (Frasnian) Rugose Corals from New York state	","Journal of Paleontology	",,61,4,676,689,,"stated without evidence",,,,,,"2000-02-14 12:27:40","2000-02-15 07:27:40"
"M. Uhen","M. Uhen",,41533,S.,Sorbi,"D. P.",Domning,"S. C. Vaiani, G. Bianucci",2012,"Metaxytherium subapenninum (Bruno, 1839) (Mammalia, Dugongidae), the latest sirenian of the Mediterranean Basin","Journal of Vertebrate Paleontology",,32,3,686,707,"journal article","stated without evidence",English,,,,,"2012-05-16 01:40:41","2012-05-16 01:40:41"
"P. Mannion","P. Mannion","P. Mannion",45317,"A. M.",Sorensen,F.,Surlyk,"J. Lindgren",2013,"Food resources and habitat selection of a diverse vertebrate fauna from the upper lower Campanian of the Kristianstad Basin, southern Sweden","Cretaceous Research",,42,,85,92,"journal article","stated with evidence",English,10.1016/j.cretres.2013.02.002,,,,"2013-03-05 22:48:25","2013-03-18 22:24:39"
"A. Miller","J. Sessa","J. Sessa",10582,F,Soto,,,,1984,"Rugose corals of the Lower-Middle and Middle-Upper Devonian boundary beds of the Cantabrian Mountains (NW Spain)","Palaeontographica Americana",,54,,459,464,"journal article","stated without evidence",,,"Conference Fourth international symposium on fossil Cnidaria (and Archaeocyathids and Stromatoporoids), Washington, D.C., United States, Aug. 1983",,,"2004-05-23 12:40:37","2004-05-24 05:40:37"
"P. Wagner","P. Wagner",,32814,A.,Soufiane,A.,Achab,,2000,"Chitinozoan zonation of the Late Ordovician and the Early Silurian of the island of Anticosti, Québec, Canada","Review of Palaeobotany and Palynology",,109,,85,101,"journal article","stated without evidence",English,10.1016/S0034-6667(99)00044-5,,,,"2010-06-18 18:57:34","2010-06-19 11:57:34"
"L. Villier","L. Villier","L. Villier",8396,J.,Soukup,,,,1938,"Der erste fund eines fossilen seesternes in den Quadersandsteinen des Oberturons bei Jicin","Vierteljahrschrift für Geologie und Erdkunde der Sudetenländer",,11,,23,27,"journal article","stated without evidence",German,,,,,"2003-04-18 01:36:25","2003-04-18 18:36:25"
"N. Heim","N. Heim",,15592,F,Sour-Tovar,F,Alvarez,"M. L. M. Chacon",2005,"Lower Mississippian (Osagean) spire-bearing brachiopods from Canon de la Peregrina, north of Ciudad Victoria, Tamaulipas, northeastern Mexico","Journal of Paleontology",,79,3,469,485,"journal article","stated without evidence",English,,,,,"2006-01-12 13:20:15","2006-01-13 08:20:15"
"J. Alroy","J. Alroy",,30510,F.,Sour-Tovar,"S. A.",Quiroz-Barroso,"S. P. Applegate",2000,"Presence of Helicoprion (Chondrichthyes, Elasmobranchii) in the Permian Patlanoaya Formation, Puebla, Mexico","Journal of Paleontology",,74,2,363,366,"journal article","none discussed",English,,,,,"2009-08-12 10:39:52","2009-08-13 03:39:52"
"M. Clapham","M. Clapham",,38501,"G. B.",Sowerby,,,,1844,"Palaeozoic shells from Van Diemen's Land","Geological Observations on the Volcanic Islands Visited during the Voyage of HMS Beagle","C. Darwin",,,158,160,"book/book chapter","stated without evidence",English,,,,,"2011-11-13 06:29:50","2011-11-13 06:29:50"
"A. McGowan","A. McGowan","A. McGowan",12885,"L. F.",Spath,,,,1930,"The Eotriassic invertebrate fauna of East Greenland","Meddeleser om Grønland",,83,1,1,90,"serial monograph","stated without evidence",,,,,,"2005-03-14 05:00:12","2005-03-15 00:00:12"
"M. Clapham","M. Clapham","M. Clapham",33700,"L. F.",Spath,,,,1935,"Additions to the Eo-Triassic invertebrate fauna of east Greenland","Meddelelser om Grønland",,98,2,1,115,"journal article","stated with evidence",English,,,,,"2010-08-29 21:05:20","2013-04-03 09:50:18"
"A. Hendy","A. Hendy",,27754,"L. F.",Spath,,,,1939,"On Upper Cretaceous (Maestrichtian) Ammonoidea from Western Australia","Journal of the Royal Society of Western Australia",,26,,41,57,"journal article","stated with evidence",English,,,,,"2008-07-26 21:13:26","2008-07-27 14:13:26"
"A. Hendy","A. Hendy",,27801,"L. F.",Spath,,,,1947,"Additional observations on the invertebrates (chiefly ammonites) of the Jurassic and Cretaceous of East Greenland","Meddeleser om Grønland",,132,3,1,69,"journal article","stated with evidence",English,,,,,"2008-07-29 21:21:29","2008-07-30 14:21:29"
"M. Aberhan","S. Nurnberg",,19912,"L. F.",Spath,,,,1952,"Some infra-Valanginian ammonites from Lindemans Fjord, Wollaston Forland; with a note on the base of the Cretaceous, [Part] 2 of Additional observations on the invertebrates (chiefly ammonites) of the Jurassic and Cretaceous of East Greenland","Meddeleser om Grønland",,133,4,1,40,"serial monograph","stated without evidence",English,,,1%,,"2007-02-15 02:19:52","2007-02-15 21:19:58"
"A. Miller","A. Hendy",,18338,I.G.,Speden,,,,1971,"Unpublished identifications, New Zealand Geological Survey","Unpublished identifications in GS reports (~1971).",,,,,,unpublished,"stated without evidence",English,,,,,"2006-08-22 04:23:35","2006-08-22 21:23:36"
"J. Alroy","E. Leckey","J. Alroy",9933,"I. A.",Speden,,,,1973,"Distribution, stratigraphy and stratigraphic relationships of Cretaceous sediments, western Raukumara Peninsula, New Zealand","New Zealand Journal of Geology and Geophysics",,16,2,243,268,"journal article","stated without evidence",English,,,,,"2004-02-26 10:08:58","2006-09-24 10:23:08"
"A. Hendy","A. Hendy",,18879,I.G.,Speden,,,,1975,"Cretaceous stratigraphy of Raukumara Peninsula","New Zealand Geological Survey Bulletin",,91,,,,"serial monograph","stated without evidence",English,,,,,"2006-09-23 15:26:28","2006-09-24 08:26:28"
"M. Clapham","M. Clapham",,44098,"I. G.",Speden,,,,1979,"Early Jurassic (Ururoan Stage) Pseudaucella from Canterbury Suite rocks at Kaiwara, North Canterbury","New Zealand Journal of Geology and Geophysics",,22,,521,523,"journal article","stated with evidence",English,,,,,"2012-12-27 12:41:48","2012-12-27 12:41:48"
"M. Uhen","M. Uhen","M. Uhen",24723,"H. E. P.",Spencer,,,,1966,"An Essex fossil ziphoid whale and its implication of geographical changes in geological times","The Essex Naturalist",,31,5,348,353,"journal article","stated without evidence",English,,,,,"2007-06-27 14:27:03","2009-02-28 04:29:02"
"A. Miller","A. Hendy","A. Hendy",15525,"R. S.",Spencer,L.D.,Campbell,,1987,"The fauna and paleoecology of the Late Pleistocene marine sediments of southeastern Virginia","Bulletins of American Paleontology",,92,327,1,124,"serial monograph","stated with evidence",English,,,,,"2005-12-19 15:45:41","2005-12-20 10:45:58"
"A. Miller","A. Hendy",,16748,"E. M.",Spieker,,,,1922,"The Paleontology of the Zorritos Formation of the North Peruvian Oil Fields","The Johns Hopkins University Studies in Geology",,3,,1,196,"serial monograph","stated with evidence",English,,"Important and authoritative reference for Miocene of Peru. While nomenclature is somewhat antiquated all occurrences have species designations and many of which are revised by Woodring (1973-1982)",,,"2006-03-05 20:52:37","2006-03-06 15:52:37"
"J. Alroy","J. Alroy",,24676,C.,Spinosa,"W. M.",Furnish,"B. F. Glenister",1970,"Araxoceratidae, Upper Permian ammonoides, from the Western Hemisphere","Journal of Paleontology",,44,4,730,736,"journal article","stated with evidence",English,,,,,"2007-06-20 17:47:59","2007-06-21 10:47:59"
"M. Clapham","M. Clapham",,27417,C.,Spinosa,W.M.,Furnish,"B.F. Glenister",1975,"The Xenodiscidae, Permian ceratitoid ammonoids","Journal of Paleontology",,49,2,239,283,"journal article","stated without evidence",English,,,,,"2008-06-21 19:58:04","2008-06-22 12:58:04"
"M. Clapham","M. Clapham",,27545,C.,Spinosa,B.F.,Glenister,,2000,"Ancestral Araxoceratinae (Upper Permian Ammonoidea) from Mexico and Iran","The Guadalupian Symposium. Smithsonian Contributions to the Earth Sciences",,32,,397,406,"book/book chapter","stated without evidence",English,,,,,"2008-07-04 13:00:14","2008-07-05 06:00:14"
"M. Clapham","M. Clapham",,33702,C.,Spinosa,"W. W.",Nassichuk,,1994,"The Permian ammonoid Demarezites Ruzhencev from the Phosphoria Formation, Idaho","Journal of Paleontology",,68,,1036,1040,"journal article","stated with evidence",English,,,,,"2010-08-29 21:07:48","2010-08-30 14:07:48"
"K. Layou","K. Layou",,28955,"D. A.",Springer,,,,1982,"Virginia Polytechnic Institute and State University",,,,,,,"Ph.D. thesis","stated without evidence",English,,,,,"2009-01-13 07:46:30","2009-01-14 02:46:30"
"G. Webster","G. Webster",,22459,J.,Sprinkle,,,,1973,"Morphology and evolution of blastozoan echinoderms","Harvard University Museum of Comparative Zoology, Special Publication",,,,1,283,"book/book chapter","stated without evidence",English,,"43 pl.",,,"2007-02-26 19:06:16","2007-02-27 14:06:16"
"A. Lin","A. Lin","A. Lin",29721,J.,Sprinkle,D.,Collins,,2006,"New eocrinoids from the Burgess Shale, southern British Columbia, Canada, and the Spence Shale, northern Utah, USA","Canadian Journal of Earth Sciences",,43,,303,322,"journal article","stated with evidence",English,10.1139/E05-107,,,,"2009-04-15 21:08:03","2009-04-17 00:21:58"
"W. Kiessling","A. Girndt","A. Girndt",26449,"D. F.",Squires,,,,1957,"New Species of Caryophylliid corals from the Gulf Coast Tertiary","Journal of Paleontology",,31,5,992,996,"journal article","stated without evidence",English,,,,,"2008-02-13 06:05:24","2008-02-14 01:06:20"
"W. Kiessling","U. Merkel",,29819,"D. F.",Squires,,,,1958,"The Cretaceous and Tertiary corals of New Zealand","New Zealand Geological Survey Paleontological Bulletin",,29,,1,107,"serial monograph","stated without evidence",English,,,,,"2009-04-27 05:17:41","2009-04-27 22:17:41"
"W. Kiessling","U. Merkel",,39798,"D. F.",Squires,,,,1958,"Some Upper Cretaceous corals from New Jersey","American Museum Novitates",,,1911,1,7,"journal article","stated without evidence",English,,,,,"2012-01-27 19:55:07","2012-01-27 19:55:07"
"W. Kiessling","U. Merkel",,30040,"D. F.",Squires,,,,1959,"Results of the Puritan-American Museum of Natural History expedition to western Mexico. Part 7: Corals and coral reefs in the Gulf of California","Bulletin of the American Museum of Natural History",,118,,367,432,"serial monograph","stated without evidence",English,,,,,"2009-06-04 00:39:47","2009-06-04 17:39:47"
"A. Miller","A. Hendy","A. Hendy",9635,D.F.,Squires,,,,1962,"A scleractinian coral faunule from Cape Rodney","New Zealand Journal of Geology and Geophysics",,5,,508,514,"journal article","stated without evidence",English,,"Keywords: Anthozoa; Australasia; Cape Rodney; Cenozoic; Coelenterata; Invertebrata; lower Miocene; Miocene; Neogene; New Zealand; paleontology; Tertiary; Waitemata Group",1%,19480,"2004-01-05 21:35:35","2004-01-06 16:35:35"
"W. Kiessling","U. Merkel","U. Merkel",28919,"D. F.",Squires,,,,1962,"Additional Cretaceous and Tertiary corals from New Zealand","Transactions of the Royal Society of New Zealand, Geology",,1,9,133,150,"journal article","stated with evidence",English,,,,,"2009-01-07 05:09:18","2009-01-09 00:50:51"
"W. Kiessling","U. Merkel",,28575,"D. F.",Squires,,,,1965,"A new species of Pliobothrus, a hydrocoral from the Oligocene of New Zealand","Transactions of the Royal Society of New Zealand, Geology",,3,3,23,25,"journal article","stated with evidence",English,,,,,"2008-11-25 06:32:11","2008-11-26 01:32:11"
"J. Alroy","J. Alroy",,30195,"R. L.",Squires,,,,1980,"A new species of brachyuran from the Paleocene of California","Journal of Paleontology",,54,2,472,476,"journal article","stated with evidence",English,,,,,"2009-07-06 19:21:28","2009-07-07 12:21:28"
"L. Ivany","E. Kowalski","J. Alroy",519,"R. L.",Squires,,,,1983,"New Mollusks from the Lower Middle Eocene LLajas Formation, Southern California","Journal of Paleontology",,57,2,354,362,"journal article","stated without evidence",,,,,,"2000-06-09 07:36:17","2009-11-23 09:26:36"
"A. Miller","K. Layou",,329,"R. L.",Squires,,,,1988,"Eocene Macropaleontology of Northern Lockwood Valley, Ventura County, California","Contributions in Science (Natural History Museum of Los Angeles County)",,398,,1,23,,"stated without evidence",,,,,,"1999-10-11 06:29:18","1999-10-11 23:29:18"
"L. Ivany","E. Kowalski",,530,"R. L.",Squires,,,,1989,"Pteropods (Mollusca: Gastropoda) from Tertiary Formations of Washington and Oregon	","Journal of Paleontology	",,63,4,443,448,,"stated without evidence",,,,,,"2000-06-13 06:39:05","2000-06-13 23:39:05"
"A. Miller","A. Hendy","A. Hendy",13852,"R. L.",Squires,,,,2001,"Additions to the Eocene megafossil fauna of the Llajas Formation, Simi Valley, southern California","Contributions in Science (Natural History Museum of Los Angeles County)",,489,,1,40,"journal article","stated without evidence",English,,,,,"2005-07-04 08:45:13","2005-07-05 01:45:30"
"L. Ivany","E. Kowalski","J. Alroy",517,"R. L.",Squires,R.,Demetrion,,1990,"New Eocene Marine Bivalves from Baja California Sur, Mexico","Journal of Paleontology",,64,3,382,391,"journal article","stated without evidence",,,,,,"2000-06-08 09:39:05","2009-11-23 09:26:17"
"A. Miller","K. Layou",,322,"R. L.",Squires,"R. A.",Demetrion,,1992,"Paleontology of the Eocene Bateque Formation, Baja California Sur, Mexico","Contributions in Science (Natural History Museum of Los Angeles County)",,434,,1,55,,"stated without evidence",,,,,,"1999-10-06 09:19:53","1999-10-07 02:19:53"
"A. Miller","K. Layou",,332,"R. L.",Squires,"J. L.",Goedert,,1984,"Macropaleontology of the Eocene Crescent Formation in the Little River Area, Southern Olympic Peninsula, Washington","Contributions in Science (Natural History Museum of Los Angeles County)",,444,,1,32,,"stated without evidence",,,,,,"1999-10-12 06:10:25","1999-10-12 23:10:25"
"A. Miller","A. Hendy",,18606,"R. L.",Squires,"L. R.",Saul,,2004,"Uncommon Cretaceous naticiform gastropods from the Pacific Slope of North America","The Velliger",,47,1-2,21,37,"journal article","stated with evidence",English,,,,,"2006-09-08 09:37:49","2006-09-09 02:37:49"
"A. Hendy","A. Hendy",,19980,"R. L.",Squires,"L. R.",Saul,,2005,"New Late Cretaceous (Santonian and Campanian) gastropods from California and Baja California, Mexico","The Nautilus",,119,4,133,148,"journal article","stated with evidence",English,,,,,"2007-02-24 19:20:08","2007-02-25 14:20:18"
"A. Miller","A. Hendy",,18617,"R. L.",Squires,"L. R.",Saul,,2006,"Additions and refinements to Aptian to Santonian (Cretaceous) Turritella (Mollusca: Gastropoda) from the Pacific Slope of North America","The Veliger",,48,1,46,60,"journal article","stated with evidence",English,,,,,"2006-09-08 16:36:05","2006-09-09 09:36:09"
"T. Olszewski","L. Fall",,17986,J.,Sremac,,,,1986,"Middle Permian brachiopods from the Velebit Mts. (Croatia, Yogoslavia)","Palaeontologia Jugoslavica",,35,,1,43,"journal article","stated without evidence",English,,,,,"2006-07-15 14:41:40","2006-07-16 07:41:40"
"L. Ivany","P. Wall","M. Clapham",12368,"S. V.",Srikantia,"O. N.",Bhargava,"H. M. Kapoor",1978,"A note on the occurrence of Eurydesma and Deltopecten assemblage from the Kuling Formation (Permian) Baralacha Ban Area, Lahaul Valley, Himachal Himalaya","Journal of the Geological Society of India",,19,2,73,78,"journal article","stated without evidence",English,,,,,"2005-01-12 12:22:07","2011-10-13 07:23:11"
"L. Ivany","P. Wall","P. Wall",12392,D.K.,Srivastava,J.N.,Dhaundiyal,"G. Kumar",1979,"Bivalves from the Eocene Rocks of the Garhwal Synform, U.P.","Himalayan Geology",,9,,364,370,"journal article","stated without evidence",,,,,,"2005-01-13 13:08:30","2005-01-14 08:08:30"
"J. Alroy","J. Alroy",,31929,"M. M.",Stadnichenko,,,,1927,"The Foraminifera and Ostracoda of the marine Yegua of the type sections","Journal of Paleontology",,1,3,221,243,"journal article","not entered",English,,,,,"2010-02-06 14:38:33","2010-02-07 09:38:33"
"A. Hendy","A. Hendy",,31588,"R. M.",Stainforth,,,,1948,"Description, correlation, and paleoecology of Tertiary Cipero Marl, Trinidad, BWI","Bulletin of the American Association of Petroleum Geologists",,32,7,1292,1330,"journal article","second hand",English,,,,,"2010-01-15 07:27:56","2010-01-16 02:27:56"
"S. Holland","T. Hanson","T. Hanson",7567,B.,Stait,,,,1988,"Nautiloids of the Lourdes Formation (Middle Ordovician), Port au Port Peninsula, western Newfoundland","New Mexico Bureau of Mines and Mineral Resources Memoir",,44,,61,77,"serial monograph","stated without evidence",,,"compiled by Donald L. Wolberg",,,"2002-12-05 20:37:23","2002-12-08 07:45:37"
"A. Miller","S. Kolbe",,34463,"G. D.","Stanley, Jr.",,,,1979,"Paleoecology, structure, and distribution of Triassic coral buildups in western North America","The University of Kansas Paleontological Contributions",,65,,1,68,"journal article","stated without evidence",English,,,,,"2010-12-09 01:30:05","2010-12-09 01:30:05"
"J. Alroy","J. Alroy","J. Alroy",307,"G. D.","Stanley, Jr.",L.,Beauvais,,1990,"Middle Jurassic corals from the Wallowa terrane, west-central Idaho","Journal of Paleontology",,64,3,352,362,"journal article","stated without evidence",English,,,,,"1999-08-29 15:55:15","2009-11-23 09:25:29"
"W. Kiessling","W. Kiessling","S. Kolbe",6529,"G. D.","Stanley, Jr.",L.,Beauvais,,1994,"Corals from an Early Jurassic coral reef in British Columbia: refuge on an oceanic island reef",Lethaia,,27,,35,47,"journal article","stated without evidence",English,,,,,"2002-06-22 10:27:47","2011-08-31 05:47:34"
"M. Aberhan","S. Nurnberg","M. Clapham",10543,"G. D.","Stanley, Jr.",C.,Gonzalez-Leon,"M. R. Sandy, B. Senowbari-Daryan, P. Doyle, M. Tamura, D. H. Erwin",1994,"Upper Triassic invertebrates from the Antimonio Formation, Sonora, Mexico","The Paleontological Society Memoir",,36,,1,33,"journal article","stated without evidence",English,,,,,"2004-05-18 03:48:49","2013-05-11 13:41:41"
"W. Kiessling","U. Merkel",,18928,"G. D.","Stanley, Jr.",Y.,Kanie,,1985,"The first mesozoic chondrophorine (medusoid hydrozoan) from the Lower Cretaceous of Japan",Palaeontology,,28,1,101,109,"journal article","stated without evidence",English,,,,,"2006-09-28 04:48:56","2006-09-28 21:49:05"
"M. Uhen","M. Uhen",,24686,"D. W.",Steadman,"W. T.",Kirchgasser,"D. M. Pelkey",1994,"A late Pleistocene white whale (Delphinapterus Leucas) from Champlain Sea sediments in northern New York","New York State Museum Bulletin",,481,,339,345,"journal article","stated without evidence",English,,,,,"2007-06-22 13:22:27","2007-06-23 06:22:27"
"M. Carrano","M. Carrano",,15490,R.,Steel,,,,1970,"Part 14. Saurischia","Handbuch der Paläoherpetologie/Encyclopedia of Paleoherpetology. Gustav Fischer Verlag, Stuttgart",,,,1,87,"book/book chapter","stated without evidence",English,,,ETE,,"2005-12-08 10:19:24","2005-12-09 05:19:28"
"M. Uhen","M. Uhen",,31574,"M. E.",Steeman,,,,2009,"A new baleen whale from the Late Miocene of Denmark and early mysticete hearing",Palaeontology,,52,5,1169,1190,"journal article","stated without evidence",English,,,,,"2010-01-14 13:10:56","2010-01-15 08:10:56"
"M. Clapham","M. Clapham",,27353,F.G.,Stehli,,,,1961,"New genera of upper Paleozoic terebratuloids","Journal of Paleontology",,35,3,457,466,"journal article","stated without evidence",English,,,,,"2008-06-09 15:41:38","2008-06-10 08:41:38"
"M. Clapham","M. Clapham",,27469,F.G.,Stehli,,,,1961,"New terebratuloid genera from Australia","Journal of Paleontology",,35,3,451,456,"journal article","stated without evidence",English,,,,,"2008-06-27 19:23:53","2008-06-28 12:23:53"
"W. Stein","N. Smith","N. Smith",6895,"W. E.",Stein,,,,2002,"SUNY-Binghamton Paleobiology Collection",,,,,,,unpublished,"stated without evidence",,,,,,"2002-08-08 08:11:46","2002-08-09 03:26:29"
"A. Lin","A. Lin",,31454,M.,Stein,"J. S.",Peel,,2008,"Perissopyge (Trilobita) from the lower Cambrian (Series 2, Stage 4) of North America and Greenland",GFF,,130,,71,78,"journal article","stated without evidence",English,,,"fossil record",,"2010-01-03 20:40:34","2010-01-04 15:40:34"
"A. Hendy","A. Hendy",,29183,M.,Steiner,G.,Li,"Y. Qian, M. Zhu, B.-D. Erdtmann",2007,"Neoproterozoic to early Cambrian small shelly fossil assemblages and a revised biostratigraphic correlation of the Yangtze Platform (China)","Palaeogeography, Palaeoclimatology, Palaeoecology",,254,,67,99,"journal article","second hand",English,,,,,"2009-02-09 21:11:36","2009-02-10 16:11:36"
"A. Hendy","A. Hendy",,29233,M.,Steiner,M.,Zhu,"Y. Zhao, B.-D. Erdtmann",2005,"Lower Cambrian Burgess Shale-type fossil associations of South China","Palaeogeography, Palaeoclimatology, Palaeoecology",,220,,129,152,"journal article","stated without evidence",English,,,,,"2009-02-20 19:09:50","2009-02-21 14:09:50"
"W. Kiessling","U. Merkel",,24656,"C. R.",Stelck,,,,1955,"Cardium Formation of the Foothills of Northeastern British Columbia","Canadian Mining and Metallurgical Bulletin",,58,517,266,273,"journal article","stated without evidence",English,,,1%,20400,"2007-06-18 06:09:43","2007-06-18 23:09:43"
"A. Hendy","A. Hendy",,29479,"C. R.",Stelck,"J. H.",Wall,,1955,"Foraminifera of the Cenomanian Dunveganoceras Zone of the Peace River area of western Canada","Reserach Council of Alberta Report",,70,,1,81,"serial monograph","stated with evidence",English,,,,,"2009-03-19 12:41:25","2009-03-20 06:41:25"
"L. Ivany","C. Visaggi","C. Visaggi",11405,"H. B.",Stenzel,,,,1934,"Decapod Crustaceans from the Middle Eocene of Texas","Journal of Paleontology",,8,1,38,56,"journal article","stated without evidence",,,,1%,,"2004-08-09 11:22:04","2004-08-10 04:22:04"
"W. Kiessling","W. Kiessling",,26578,"H. B.",Stenzel,,,,1965,"Stratigraphic and paleoecologic significance of a new Danian brachiopod species from Texas  ","Geologische Rundschau",,54,2,619,631,"journal article","stated with evidence",English,,,,,"2008-02-28 05:09:58","2008-02-29 00:09:58"
"M. Kosnik","M. Kosnik","M. Kosnik",7415,"H. B.",Stenzel,"E. K.",Krause,"J. T. Twining",1957,"Pelecypoda from the type locality of the Stone City beds (Middle Eocene) of Texas","University of Texas Publication",,,5704,,,"serial monograph","stated without evidence",,,,,,"2002-10-31 15:05:26","2002-11-01 10:05:26"
"J. Alroy","J. Alroy",,3214,"H. B.",Stenzel,,"et al.",,1944,,"Bulletin of the American Association of Petroleum Geologists",,28,7,,,"journal article","stated without evidence",,,,,,"2001-03-02 17:03:41","2001-03-03 12:03:41"
"M. Clapham","M. Clapham",,33703,"D. L.",Stepanov,F.,Golshani,"J. Stöcklin",1969,"Upper Permian and Permian-Triassic boundary in north Iran","Geological Survey of Iran Report",,12,,1,72,"serial monograph","stated with evidence",English,,,,,"2010-08-29 21:09:49","2010-08-30 14:09:49"
"M. Uhen","M. Uhen","M. Uhen",16851,B.,Stepanovic,,,,1938,"Ueber einen fossilen Wall-Rest (Cetotherium sp.) in den untersarmatischen Schichten bei Bele Vode, nah Beograd","Annales geologiques de la peninsule Balkanique",,15,,268,273,"journal article","stated without evidence",Russian,,"with German summary",,,"2006-03-13 12:16:52","2006-03-14 07:22:45"
"M. Kosnik","M. Kosnik",,444,"L. W.",Stephenson,,,,1941,"The larger invertebrate fossils of the Navarro group of Texas","The University of Texas Publication",,4101,,1,625,,"stated without evidence",,,,,,"2002-03-04 16:40:30","2002-03-05 11:40:30"
"J. Alroy","J. Alroy",,31950,"M. B.",Stephenson,,,,1944,"Ostracoda from the Reklaw Eocene of Bastrop County, Texas","Journal of Paleontology",,18,5,448,454,"journal article","not entered",English,,,,,"2010-02-08 14:01:16","2010-02-09 09:01:16"
"M. Kosnik","M. Kosnik",,284,"L. W.",Stephenson,,,,1952,"Larger invertebrate fossils of the Woodbine formation (Cenomanian) of Texas","USGS Professional Paper",,,242,1,225,,"stated without evidence",,,,,,"1999-08-14 16:27:08","1999-08-15 09:27:08"
"J. Alroy","M. Sommers","A. Clement",54,"L. W.",Stephenson,,,,1955,"Basal Eagle Ford fauna (Cenomanian) in Johnson and Tarrant Counties, Texas","United States Geological Survey Professional Paper",,274-C,,53,67,"journal article","stated without evidence",English,,,,,"1999-06-15 15:04:53","2013-02-12 08:41:41"
"J. Alroy","M. Sommers",,311,"L. W.",Stephenson,,,,1956,"Fossils from the Eutaw Formation, Chattahoochee River region, Alabama-Georgia","United States Geological Survey Professional Paper",,274-J,,227,250,,"stated without evidence",,,,,,"1999-09-01 08:52:40","1999-09-02 01:52:40"
"D. Bottjer","M. Clapham","M. Clapham",10838,"A. F.",Sterren,,,,2000,"Moluscos bivalvos en la Formacion Rio del Penon (Carbonifero Tardio-Permico Temprano), provincia de La Rioja, Argentina",Ameghiniana,,37,4,421,438,"journal article","stated without evidence",Spanish,,,,,"2004-06-12 19:34:32","2004-06-13 12:34:32"
"W. Kiessling","W. Kiessling","W. Kiessling",18332,T.,Steuber,,,,1999,"Cretaceous rudists of Boeotia, Central Greece","Special Papers in Palaeontology",,61,,5,229,"serial monograph","stated without evidence",English,,,,,"2006-08-22 02:35:37","2006-08-23 00:41:47"
"A. Miller","A. Hendy",,18323,"G. R.",Stevens,,,,1965,"The Jurassic and Cretaceous Belemnites of New Zealand and a Review of the Jurassic and Cretaceous Belemnites of the Indo-Pacific Region","New Zealand Geological Survey Paleontological Bulletin",,36,,,,"serial monograph","stated with evidence",English,,,,,"2006-08-19 22:20:30","2006-08-20 15:20:30"
"A. Miller","A. Hendy",,18337,"G. R.",Stevens,,,,1965,"Unpublished identifications, New Zealand Geological Survey","Unpublished identifications in GS reports (1965).",,,,,,unpublished,"stated without evidence",English,,,,,"2006-08-22 04:14:35","2006-08-22 21:14:35"
"A. Miller","A. Hendy","A. Hendy",9634,"G. R.",Stevens,,,,1985,"A revision of the Lytoceratinae (Subclass Ammonoidea) including Lytoceras tahroaense n. sp., Upper Jurassic, New Zealand","New Zealand Journal of Geology and Geophysics",,28,,153,185,"journal article","stated without evidence",English,,"Keywords: Ammonoidea; Australasia; biostratigraphy; Cephalopoda; Heterian; Invertebrata; Jurassic; Kimmeridgian; Lytoceras; Lytoceras taharoaense; Lytoceratinae; Mesozoic; Mollusca; new taxa; New Zealand; paleontology; Portlandian; Puaroan; revision; stratigraphy; sutures; taxonomy; Tetrabranchiata; Tithonian; Upper Jurassic",1%,8880,"2004-01-05 15:01:33","2004-01-06 10:01:33"
"W. Kiessling","W. Kiessling","J. Alroy",28473,"C. H.",Stevens,,,,2008,"Fasciculate rugose corals from Gzhelian and lower Permian strata, Pequop Mountains, northeast Nevada","Journal of Paleontology",,82,6,1190,1200,"journal article","stated without evidence",English,,,,,"2008-11-13 05:43:22","2008-12-19 10:57:34"
